,B cells,CD4+ T cells,CD8+ T cells,Dendritic cells,Endothelial,Epithelial,Fibroblasts,Macrophages,NK cells,Plasma cells,Unassigned,n_cells,spot_x,spot_y
spot_3709,0.0,0.06666666666666667,0.3333333333333333,0.0,0.0,0.06666666666666667,0.2,0.3333333333333333,0.0,0.0,0.0,15,,
spot_3802,0.0,0.0,0.041666666666666664,0.0,0.125,0.0,0.375,0.4166666666666667,0.0,0.0,0.041666666666666664,24,,
spot_3803,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.7142857142857143,0.25,0.0,0.0,0.0,28,,
spot_3804,0.0,0.0,0.0,0.0,0.2,0.0,0.55,0.25,0.0,0.0,0.0,20,,
spot_3805,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.25,0.0,0.0,0.08333333333333333,12,,
spot_3806,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.6190476190476191,0.23809523809523808,0.0,0.0,0.0,21,,
spot_3807,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.6190476190476191,0.14285714285714285,0.0,0.0,0.047619047619047616,21,,
spot_3808,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1111111111111111,9,,
spot_3809,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.7368421052631579,0.05263157894736842,0.0,0.0,0.15789473684210525,19,,
spot_3810,0.0,0.0,0.0,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.47058823529411764,0.0,0.0,0.23529411764705882,17,,
spot_3811,0.0,0.24,0.24,0.0,0.0,0.04,0.32,0.16,0.0,0.0,0.0,25,,
spot_3812,0.0,0.1,0.0,0.0,0.0,0.1,0.7,0.1,0.0,0.0,0.0,10,,
spot_3813,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.8181818181818182,0.09090909090909091,0.0,0.0,0.0,11,,
spot_3814,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.5333333333333333,0.26666666666666666,0.0,0.0,0.0,15,,
spot_3815,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.0,0.0,0.0,11,,
spot_3816,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.14285714285714285,7,,
spot_3817,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,9,,
spot_3818,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.375,0.125,0.0,0.0,0.125,16,,
spot_3819,0.0,0.0,0.08333333333333333,0.0,0.125,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.041666666666666664,24,,
spot_3820,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.5333333333333333,0.2,0.0,0.0,0.0,15,,
spot_3821,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,11,,
spot_3822,0.0,0.041666666666666664,0.125,0.0,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.375,0.0,0.0,0.0,24,,
spot_3823,0.0,0.0,0.2,0.05,0.0,0.1,0.45,0.2,0.0,0.0,0.0,20,,
spot_3824,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.38461538461538464,0.0,0.46153846153846156,0.0,0.0,0.0,13,,
spot_3916,0.0,0.04,0.16,0.04,0.04,0.0,0.16,0.52,0.0,0.0,0.04,25,,
spot_3917,0.0,0.17391304347826086,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.6521739130434783,0.0,0.0,0.0,23,,
spot_3918,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.6,0.0,0.0,0.0,20,,
spot_3919,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.0,0.0,0.0,11,,
spot_3920,0.0,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.2222222222222222,0.5,0.0,0.0,0.0,18,,
spot_3921,0.0,0.06896551724137931,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.0,0.10344827586206896,0.5517241379310345,0.0,0.0,0.034482758620689655,29,,
