"","Method","Replicate","Reference","Pattern","JSD","RMSE","MAE","Sum_RMSE","Sum_MAE","Corr"
"17","Cell2Location",1,"Full","High Seg",0.045485889699051,0.0923708454338204,0.0294814778164697,0.09638146432126,0.0294814778164697,0.941573038604279
"18","Cell2Location",1,"Full","Mixed",0.471523707980558,0.174098782177991,0.0915146502569962,0.191936305507369,0.0915146502569962,0.673740484351841
"19","Cell2Location",2,"Downsampled","High Seg",0.0516777225093613,0.0897812994102547,0.0282127892469415,0.0911067149493552,0.0282127892469415,0.950725384606361
"20","Cell2Location",2,"Downsampled","Mixed",0.465179399091365,0.168730687022016,0.0898370311608976,0.185958290752104,0.0898370311608976,0.685974040399488
"21","Cell2Location",2,"Full","High Seg",0.0512444708437478,0.0844878420685872,0.0265725885120944,0.0867096969801459,0.0265725885120944,0.954548032949608
"22","Cell2Location",2,"Full","Mixed",0.463258507657385,0.164348458421319,0.0878502777021724,0.182998521464246,0.0878502777021724,0.696276365813616
"23","Cell2Location",3,"Downsampled","High Seg",0.0811165394932437,0.0913473505133988,0.0294913695662149,0.0945396554902102,0.0294913695662149,0.942547094637562
"24","Cell2Location",3,"Downsampled","Mixed",0.488462353933483,0.180690565776617,0.0952602084410484,0.19567483929087,0.0952602084410484,0.670983164963628
"25","Cell2Location",3,"Full","High Seg",0.0673222681721779,0.0830081934835943,0.0267534129177355,0.0863739708639527,0.0267534129177355,0.95198344600006
"26","Cell2Location",3,"Full","Mixed",0.47374493196102,0.174950711706211,0.0905494385193352,0.190327170562767,0.0905494385193351,0.679707207105436
"27","Cell2Location",4,"Downsampled","High Seg",0.0607591881597008,0.0745745582219543,0.0238666931452195,0.0760308629303649,0.0238666931452195,0.964454297679775
"28","Cell2Location",4,"Downsampled","Mixed",0.472708690511148,0.17125888460303,0.0922959262355287,0.189181232325161,0.0922959262355287,0.689278105909518
"29","Cell2Location",4,"Full","High Seg",0.0663391854215323,0.0775575702609903,0.0248477274402007,0.0791872610222319,0.0248477274402007,0.961143584181541
"30","Cell2Location",4,"Full","Mixed",0.452667377565765,0.166246962380634,0.089452293813512,0.185132834557731,0.089452293813512,0.695897145320733
"31","RCTD",0,"Downsampled","High Seg",0.754268138709831,0.230172930190503,0.159992565237738,0.252678973201561,0.159992565237738,0.343102989393723
"32","RCTD",0,"Downsampled","Mixed",0.703274436142298,0.183238589520658,0.146905191251206,0.216457683807442,0.146905191251206,0.164024922827752
"33","RCTD",0,"Full","High Seg",0.114735308747928,0.0465159086925264,0.0180866075370193,0.048275941919229,0.0180866075370192,0.984011742680659
"34","RCTD",0,"Full","Mixed",0.130508642759555,0.0506835205060432,0.0251082776217859,0.0563673494082759,0.0251082776217859,0.962878081627273
"35","RCTD",1,"Downsampled","High Seg",0.798688438054838,0.250520350807343,0.172125168742023,0.268255452933852,0.172125168742023,0.189764083036781
"36","RCTD",1,"Downsampled","Mixed",0.707214912974227,0.183211501875584,0.147320985740487,0.218147337595286,0.147320985740487,0.153398586045789
