cell_type,gene,score,pval_adj
B cells,FBP1,50.14067077636719,0.0
B cells,MT1E,49.360084533691406,0.0
B cells,ADI1,48.84255599975586,0.0
B cells,PCK1,46.771942138671875,0.0
B cells,RAB11FIP3,46.3746452331543,0.0
B cells,LGALS2,46.210880279541016,0.0
B cells,NAT8,45.46338653564453,0.0
B cells,RP11-626P14.1,44.436466217041016,0.0
B cells,CXCL14,44.17143630981445,0.0
B cells,APOM,44.14579391479492,0.0
B cells,KHK,43.204341888427734,0.0
B cells,PRODH2,41.51417922973633,0.0
B cells,DPEP1,40.14458465576172,0.0
B cells,UGT2B7,39.88639450073242,0.0
B cells,C11orf54,39.830326080322266,0.0
B cells,SAT2,39.56585693359375,0.0
B cells,NDUFB1,39.395626068115234,0.0
B cells,UQCRQ,39.315338134765625,0.0
B cells,CYB5A,38.456695556640625,0.0
B cells,HRSP12,37.38120651245117,5.072148168669286e-304
B cells,DHRS4L2,36.04102325439453,1.1064527166152677e-282
B cells,ACAA1,36.03131103515625,1.5662989862152672e-282
B cells,ATP5I,35.52976608276367,9.505131665522674e-275
B cells,ASPDH,35.0604248046875,1.4696744010316765e-267
Epithelial,FXYD2,106.48114776611328,0.0
Epithelial,PDZK1IP1,104.97566986083984,0.0
Epithelial,GPX3,102.80193328857422,0.0
Epithelial,SMIM24,96.0751953125,0.0
Epithelial,RBP5,94.56656646728516,0.0
Epithelial,SUCLG1,94.43351745605469,0.0
Epithelial,CYB5A,94.18457794189453,0.0
Epithelial,PEBP1,94.1086654663086,0.0
Epithelial,MT1G,94.0859375,0.0
Epithelial,GATM,93.39916229248047,0.0
Epithelial,MT1F,93.22320556640625,0.0
Epithelial,CXCL14,92.64840698242188,0.0
Epithelial,UQCRQ,92.04398345947266,0.0
Epithelial,PCSK1N,90.93428802490234,0.0
Epithelial,COX7C,90.92933654785156,0.0
Epithelial,ATP5I,88.4811782836914,0.0
Epithelial,GSTA1,87.12833404541016,0.0
Epithelial,MIOX,86.49957275390625,0.0
Epithelial,MIF,85.08769989013672,0.0
Epithelial,ECHS1,84.57747650146484,0.0
Epithelial,USMG5,83.67561340332031,0.0
Epithelial,LAMTOR5,83.25403594970703,0.0
Epithelial,ADI1,83.15074157714844,0.0
Epithelial,TXN,82.53468322753906,0.0
Epithelial,MT1X,82.23811340332031,0.0
