"","JSD","RMSE_Value","Sum_RMSE","CellType","MAE_Value","Sum_MAE","corr","Replicate","Method","Reference","Pattern"
"3372",0.124294647973388,0.0190284386817085,0.0519787678366801,"'Normal Epithelial'",0.00364540149878408,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3373",0.124294647973388,0.0190284386817085,0.0519787678366801,"'PVL'",0.00802521483024781,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3374",0.124294647973388,0.0190284386817085,0.0519787678366801,"'Plasmablasts'",0.0049010317779449,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3375",0.124294647973388,0.0190284386817085,0.0519787678366801,"'T-cells'",0.0352001798728582,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3376",0.124294647973388,0.0283903353450858,0.0519787678366801,"'B-cells'",0.0196740686674644,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3377",0.124294647973388,0.0283903353450858,0.0519787678366801,"'CAFs'",0.0392078716179997,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3378",0.124294647973388,0.0283903353450858,0.0519787678366801,"'Cancer Epithelial'",0.069403180714424,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3379",0.124294647973388,0.0283903353450858,0.0519787678366801,"'Endothelial'",0.0067985627357637,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3380",0.124294647973388,0.0283903353450858,0.0519787678366801,"'Myeloid'",0.0256100737653128,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3381",0.124294647973388,0.0283903353450858,0.0519787678366801,"'Normal Epithelial'",0.00364540149878408,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3382",0.124294647973388,0.0283903353450858,0.0519787678366801,"'PVL'",0.00802521483024781,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3383",0.124294647973388,0.0283903353450858,0.0519787678366801,"'Plasmablasts'",0.0049010317779449,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3384",0.124294647973388,0.0283903353450858,0.0519787678366801,"'T-cells'",0.0352001798728582,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3385",0.124294647973388,0.0365238245319415,0.0519787678366801,"'B-cells'",0.0196740686674644,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3386",0.124294647973388,0.0365238245319415,0.0519787678366801,"'CAFs'",0.0392078716179997,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3387",0.124294647973388,0.0365238245319415,0.0519787678366801,"'Cancer Epithelial'",0.069403180714424,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3388",0.124294647973388,0.0365238245319415,0.0519787678366801,"'Endothelial'",0.0067985627357637,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3389",0.124294647973388,0.0365238245319415,0.0519787678366801,"'Myeloid'",0.0256100737653128,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3390",0.124294647973388,0.0365238245319415,0.0519787678366801,"'Normal Epithelial'",0.00364540149878408,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3391",0.124294647973388,0.0365238245319415,0.0519787678366801,"'PVL'",0.00802521483024781,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3392",0.124294647973388,0.0365238245319415,0.0519787678366801,"'Plasmablasts'",0.0049010317779449,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3393",0.124294647973388,0.0365238245319415,0.0519787678366801,"'T-cells'",0.0352001798728582,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3394",0.124294647973388,0.0699406124348925,0.0519787678366801,"'B-cells'",0.0196740686674644,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3395",0.124294647973388,0.0699406124348925,0.0519787678366801,"'CAFs'",0.0392078716179997,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
