,CD4+ T cells,CD8+ T cells,Macrophages,B cells,Endothelial,Epithelial,Fibroblasts,assigned_type,confidence,doublet_flag
aaaaaglh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3204277925546677,True
aaadlhcl-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.1970009316569592,True
aaaeklfg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3216629223000815,True
aaaenoak-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3324855542999015,False
aaaffeli-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2900253597980535,True
aaahgddh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2929531367924473,True
aaaicbad-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.1700257866537592,False
aaainfcj-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3656295468788053,False
aaajalli-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4310760876817655,True
aaakaicm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2970737224647785,True
aaalenei-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3971993131952879,True
aaalibnp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4393415060313961,True
aaanimgh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaanmojg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.414219296060188,True
aaaoobdd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2639738733565602,False
aaapalia-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2454131587201428,False
aabaadec-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.2101130345726173,True
aabcnbfn-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2501734665123448,False
aabfoclf-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3104267948785752,False
aabgdiad-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2623167860459287,False
aabgkkdo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2623917805499067,True
aabjlmbg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.288721680052687,False
aabmhdnc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaboacmc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aabpkoac-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2679495163630524,True
aabpmhim-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2535792986941045,True
aacafmbe-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2899309859526709,True
aaccbohg-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.381465256848875,False
aaceclnh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacefhmk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2718129399133702,True
aaciafec-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2614672684925067,True
aacialam-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2253838144308685,False
aacjhkdi-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Epithelial,0.1488545001021997,True
aacjnbjc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacjneie-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4495201399142695,True
aaclmpag-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2565104765310827,False
aaclpnkb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3051647800985704,True
aacmjhmg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacoaifi-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2588772849768238,False
aacpckob-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacppmhm-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3596909587322462,True
aadadpgm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3917844829687728,True
aadbjopa-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1617429502790911,True
aadblgdf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4013877526206139,True
aadcblpi-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2852221633296037,True
aadcdlpa-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2666618527086578,True
aadceeic-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2446007296656757,True
aadcigkc-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4733462774577272,True
aaddoofe-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5976524791466229,True
aadgpnee-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2468169577087345,True
aadhihkj-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.5468220554749553,False
aadjcmac-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2714094720026909,True
aadjdppm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4563404047582935,True
aadknhnh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4965578121946207,True
aadlacnm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4133047857434707,True
aadlfchn-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2709322866400349,True
aadlnbah-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.5769539447382029,True
aadmphao-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2683924140242816,True
aadoklpb-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Epithelial,0.225599669611246,False
aaecfnjp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1986590477315764,True
aaeddkpp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2742455611531602,True
aaeebjjn-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2516808450909144,True
aaeepchi-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaegbfdi-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3016775518531977,False
aaegfpoj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2861438693134945,True
aaehkppf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4224122000502643,True
aaehmmeh-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4024617924517838,True
aaeikpdm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4419559645086638,True
aaeklknj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.684262719520316,True
aaelabck-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3777572623702712,True
aaelolmd-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2381495113881619,False
aaenlcpi-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2348480388961471,False
aaenlhmk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4018919575827568,True
aaeopaaf-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2162175573302445,False
aaepakba-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2919984009074527,True
aaepcbnf-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2288081303709075,False
aafbbfhb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2977327325090514,True
aafdobnk-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2009457667736981,True
aafepnnf-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3828310649215029,False
aafhamng-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.328390538998531,True
aafhbcfk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.240268561752266,True
aafjfkbd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2584937314793833,True
aafjhjco-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2478195175175972,True
aafjobmb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.368485018237367,True
aaflmfoo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2129834293154415,True
aaflocgl-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2162322667993152,True
aafmicof-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2175935959053221,True
aafnigfa-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.2397366948522477,False
aafoaekm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2013605430725287,True
aagdnhoj-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2214418564759775,True
aagfeijm-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aagfkeok-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1890407660122443,True
aaggpdkl-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaggpnmf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2743138869707734,True
aagjncnk-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaglgoim-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.1894196819954213,False
aagnipdo-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aagoheph-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2187695532717059,True
aahdlnnm-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1893109152423195,False
aahgahcf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2292372162036919,True
aahgcnpg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1947286516612291,True
aahhdkcg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aahhibhp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.20042375812735,False
aahhmicp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2545830440559666,True
aahlnkei-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3794923441158002,False
aahmofod-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aahommik-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4462075795594784,True
aahphiif-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4535317952787869,False
aaiakdfg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3220546862413326,True
aaibfnie-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1393834188509517,True
aaicghlc-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2345404980398731,True
aaiclnpk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2411201900165624,True
aaiffeco-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaifnhea-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaihgnee-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.211605643476075,False
aaihohim-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2155058687960779,True
aaihpgll-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2057625719336341,True
aailekdl-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2231436245917415,True
aaioaemb-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaipihjl-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3010166230537169,True
aajadejg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3522836087252854,True
aajckdam-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1941467450719352,False
aajdopjj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.571470300625164,True
aajeodph-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1883664636976073,True
aajfjnkh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.197461948542483,True
aajhaiok-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aajickcp-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.5433570869896336,True
aajjohae-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.22150423465229,False
aajkdmic-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4312103806514534,True
aajlflma-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3414435159186666,True
aajlmmnf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aajncpdf-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1988733987514974,True
aajnegoj-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.383153297541526,False
aajnkojp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4547492190106839,True
aajocief-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2182373693166362,True
aajpcaeo-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aakadjpb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2613811914520748,True
aakagako-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aakapbnj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3976016720258972,True
aakbdjoo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2507422291810426,True
aakbfpme-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2611992024916112,True
aakclnej-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.237244301710132,True
aakeipid-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4541440437241147,True
aakfhkfd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2787097228670151,True
aakfipbb-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fibroblasts,0.1858523951974022,True
aakfkncg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4374475246328609,True
aakibkob-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4043472672216138,True
aakiigie-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2960958339972644,True
aakjfffk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3225381053603733,True
aakljhdg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2177189369880448,True
aakmfkbh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2303397290576393,True
aakndkbd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2860122426181727,True
aakonhih-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3874318650263515,True
aakpbgjf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4048812295488543,True
aalapgog-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2809693971396256,True
aaldkblp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2346741733201302,True
aaldlgek-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2445191325087595,False
aalfdjhm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.6660088716795021,True
aalggobm-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.360252493507491,True
aaliokld-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5593836757639625,True
aalkehbh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5635884986991987,True
aalmclop-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3663973526407824,True
aalohnoe-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2705923950996103,True
aalpibdi-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2167636296511132,True
aambcieb-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2162586963063073,False
aambmope-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2549884598236557,True
aamcmhhk-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2112504746606155,False
aamdldlp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3254255515763594,True
aamdnggn-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3055997791059478,True
aamfghll-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.296824912567917,True
aamgaemd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3075709544788398,True
aamgmdol-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aamgmnii-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.5286460806151654,False
aamkefjd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3901552425837995,True
aamkgoeb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1718579203701623,True
aamkpjgp-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3880338469519127,False
aamldlne-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.241334080043228,False
aamlpihm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3830919970676786,True
aammflac-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2383795149052336,True
aamphmpn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aanafgfk-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.6276593365235545,False
aanbbmki-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.340581596618783,False
aanbjnhc-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.344329468811576,True
aanddjcm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3313516277727644,True
aangdmhb-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4293261009340481,True
aanilanm-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2074633528859391,True
aanimdoc-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2334305314490672,False
aankclea-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.180807809113094,True
aanlgmjk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3822061445091221,True
aaoahjdo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2982727586079465,True
aaobdmfk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3520738553757908,True
aaobiobi-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4114941504399834,True
aaodbakh-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.5989687121950906,True
aaodcohj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5235397719011974,True
aaoeapgh-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4217502811580951,False
aaofgejo-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.3334513024455754,False
aaohbhhc-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.1878634194305648,False
aaohfahk-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2047583443149419,False
aaojfhbj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3330527410999641,True
aaolhlom-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2092291197352921,True
aaolokci-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5902962747136768,True
aaoncfln-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3426065247931591,True
aaooeikk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4862804913073016,True
aaoojeho-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3016995998438508,True
aaopiilc-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3218371308465875,True
aaopkfcj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.360419168041191,True
aapbhfip-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3109943093754181,True
aapbmmjk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3370851745288106,True
aapcepid-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.289393419745561,False
aapehpbk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2448354047122519,True
aaphaleg-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2313041456843374,False
aaphbnjk-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.6630121105629094,True
aapiglop-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4455468544268609,True
aapihojk-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4375497724701764,True
aapiinhd-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1650452984196712,True
aapikgej-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2531013232195382,True
aapimnfk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5498756003964811,True
aapjdjcf-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3556742771666764,True
aapjpned-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4359637832988728,True
aapmhgpa-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2336329249934675,False
aapmihep-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.1928113211739934,True
aapmokpk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5121072277600762,True
aapndpfe-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2014845475998595,False
aapnihea-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.6030673191888455,True
abaafpfc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
ababgnmo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2614680797915124,True
abaclonn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abadckof-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2584434655033356,True
abadgifi-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.373859673499862,False
abaflpcj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2234930515475751,True
abajfhag-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abaklnnh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abaljhcp-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1864717391086287,False
abalpmog-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abamimnj-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abamnkph-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abaogbcn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abaphaao-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2031525609272874,False
abbabnam-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1836075397265023,False
abbbcema-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2102299871938985,False
abbbkife-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abbclgbg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abbekcgj-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1964147247249195,True
abbfbllg-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2409293228631814,False
abbkbiio-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abbkjond-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abbkplkn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abbladpf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2348967405039167,True
abbnddef-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2078455220346033,False
abbocjpe-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
abcagipp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4522284402915207,True
abcajllb-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3654145043535345,True
abccdbfl-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.244358778825145,False
