,CD4+ T cells,CD8+ T cells,Macrophages,B cells,Endothelial,Epithelial,Fibroblasts,assigned_type,confidence,doublet_flag
bacncncf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3003204288396128,True
bacngoba-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.280449294133919,True
bacnmpee-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2277200372419575,False
bacogekc-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2140783925748731,True
bacopkbe-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2096711007988897,True
bacpbmkg-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.2269270369891237,False
bacpjeog-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2603617794664941,True
bacppgpg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2636780011718201,True
baddoijp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2807124261639316,True
badeifpo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4802899974803888,True
badelgip-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.229310968973891,False
badfnebc-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.5358174595541128,True
badgdbhl-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1653163786612272,True
badgkenm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3666975757970987,True
badhpdep-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.6690474001693751,True
badjngeo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4456929843212011,True
badkacdb-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.229967284665373,False
badmfpkj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.431956706998489,True
badnfodd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
badnhbpm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2462788949035478,True
badnpeli-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4400087619412202,True
badoapgn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
badogadk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4660834379823465,True
badpddnn-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5655827281014044,True
badpgkco-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.7381138945245509,True
baeabjpj-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.5118886828883871,True
baeapjgi-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baecjdcb-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.1533368159326846,False
baeckplf-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.2071329618500823,True
baedncia-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2466143956901982,True
baeemcdm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3292204711055123,True
baeeobnl-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2275323306922853,True
baefbajn-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2294456066559534,True
baefokde-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.5647481197145701,False
baegenoh-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.6149132901847695,False
baeglamb-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3765540125129478,False
baehmfgk-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3781487019781592,False
baeinogp-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.4747624660397236,False
baekcojp-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.6726522493472601,False
baekjoki-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.4257279120781322,False
baemmjed-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baenfgek-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2306154560655781,False
baeoalkg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3146890617810711,True
baeojomk-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bafcimkm-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4489087025807176,False
bafcncde-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3381570862188956,True
baffljdl-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1520791764037767,True
