cell_type,gene,score,pval_adj
Myeloid,APOC1,38.979000091552734,0.0
Myeloid,FCGR2A,38.78694534301758,0.0
Myeloid,CYBB,38.41155242919922,0.0
Myeloid,TMSB10,38.238277435302734,0.0
Myeloid,CCL3,38.12515640258789,0.0
Myeloid,APOE,37.76118087768555,0.0
Myeloid,SRGN,37.481319427490234,1.0290709927909522e-304
Cancer Epithelial,KRT19,139.38546752929688,0.0
Cancer Epithelial,KRT18,136.88458251953125,0.0
Cancer Epithelial,TSTD1,133.3011474609375,0.0
Cancer Epithelial,AZGP1,132.82012939453125,0.0
Cancer Epithelial,AGR2,131.488525390625,0.0
Cancer Epithelial,SMIM22,130.54965209960938,0.0
Cancer Epithelial,SPINT2,130.5298614501953,0.0
Cancer Epithelial,ELF3,128.76751708984375,0.0
Cancer Epithelial,KRT8,128.0876007080078,0.0
Cancer Epithelial,XBP1,127.40853118896484,0.0
Cancer Epithelial,FXYD3,127.39747619628906,0.0
Cancer Epithelial,TSPAN13,122.44136047363281,0.0
Cancer Epithelial,CRABP2,122.14341735839844,0.0
Cancer Epithelial,CLDN4,121.49919891357422,0.0
Cancer Epithelial,CD24,121.38583374023438,0.0
Cancer Epithelial,AGR3,121.01356506347656,0.0
Cancer Epithelial,ANKRD30A,119.99361419677734,0.0
Cancer Epithelial,GATA3,118.43558502197266,0.0
Cancer Epithelial,ZG16B,118.16139221191406,0.0
Cancer Epithelial,PPDPF,115.57723999023438,0.0
Cancer Epithelial,CLDN3,115.34636688232422,0.0
Cancer Epithelial,CYB5A,114.2326889038086,0.0
Cancer Epithelial,MLPH,113.65571594238281,0.0
Cancer Epithelial,DCXR,112.36576080322266,0.0
Cancer Epithelial,MT-CO2,111.90782165527344,0.0
Cancer Epithelial,UQCRQ,109.5408706665039,0.0
Cancer Epithelial,CLDN7,109.27296447753906,0.0
Cancer Epithelial,SPDEF,108.65643310546875,0.0
Cancer Epithelial,H2AFJ,107.20298767089844,0.0
Cancer Epithelial,SLC39A6,106.55756378173828,0.0
Cancer Epithelial,SRP9,106.30713653564453,0.0
Cancer Epithelial,TRPS1,106.22405242919922,0.0
Cancer Epithelial,PYCARD,103.6318588256836,0.0
Cancer Epithelial,DEGS2,103.39512634277344,0.0
Cancer Epithelial,S100A14,103.36237335205078,0.0
Cancer Epithelial,GPX4,102.29658508300781,0.0
Cancer Epithelial,MIF,101.95108795166016,0.0
Cancer Epithelial,GPRC5A,101.61019897460938,0.0
Cancer Epithelial,RAB25,100.768798828125,0.0
Cancer Epithelial,H3F3A,99.88285827636719,0.0
Cancer Epithelial,MGST1,99.42269134521484,0.0
Cancer Epithelial,SMIM14,99.01409149169922,0.0
Cancer Epithelial,STARD10,98.67053985595703,0.0
Cancer Epithelial,COX6C,98.30416870117188,0.0
Cancer Epithelial,ALDOA,98.2686767578125,0.0
Cancer Epithelial,MT-CO1,97.87398529052734,0.0
Cancer Epithelial,PERP,97.36152648925781,0.0
Cancer Epithelial,CHCHD2,97.01211547851562,0.0
Cancer Epithelial,SLC9A3R1,95.95160675048828,0.0
Cancer Epithelial,NME4,95.83296966552734,0.0
Normal Epithelial,PERP,62.9782600402832,0.0
Normal Epithelial,KRT7,62.80654525756836,0.0
Normal Epithelial,TACSTD2,61.89484786987305,0.0
Normal Epithelial,RPL3,57.59292221069336,0.0
Normal Epithelial,KRT8,52.185707092285156,0.0
Normal Epithelial,MT1E,50.07924270629883,0.0
Normal Epithelial,KRT14,50.06923294067383,0.0
Normal Epithelial,RPL13,49.87379455566406,0.0
Normal Epithelial,TPM1,49.49987030029297,0.0
Normal Epithelial,KRT5,48.27522277832031,0.0
Normal Epithelial,GSTP1,47.91371536254883,0.0
Normal Epithelial,CRYAB,47.89085388183594,0.0
Normal Epithelial,CSRP1,47.43364334106445,0.0
Normal Epithelial,ATP1B1,47.275169372558594,0.0
Normal Epithelial,PDLIM3,46.70400619506836,0.0
Normal Epithelial,EEF1A1,46.599117279052734,0.0
Normal Epithelial,WFDC2,46.595062255859375,0.0
Normal Epithelial,MGP,46.51179122924805,0.0
Normal Epithelial,RPL10A,46.25791549682617,0.0
Normal Epithelial,EIF3L,45.67243957519531,0.0
Normal Epithelial,EEF2,45.5058708190918,0.0
Normal Epithelial,ATF3,45.07951736450195,0.0
Normal Epithelial,SPINT2,44.25161361694336,0.0
Normal Epithelial,SFRP1,44.01124954223633,0.0
Normal Epithelial,GNB2L1,43.741939544677734,0.0
Normal Epithelial,PDLIM1,43.2676887512207,0.0
Normal Epithelial,RPL5,43.02663040161133,0.0
Normal Epithelial,RPS6,42.81931686401367,0.0
Normal Epithelial,KRT17,41.675846099853516,0.0
Normal Epithelial,TM4SF1,41.278846740722656,0.0
Normal Epithelial,PDLIM4,41.184791564941406,0.0
Normal Epithelial,DST,41.17783737182617,0.0
Normal Epithelial,PEBP1,40.73884582519531,0.0
Normal Epithelial,PTN,40.43599319458008,0.0
