marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD138,VISTA,0.5171063649910691,0.010389407491309613,266,0.002580194581591379,0.02280076556418662,0.0374715107168149,2.4474818481482437e-13,1.1782216707973001,1.203228144178212,0.005,1.190724907487756
CD20,CD8A,0.5160187657766981,0.010100626542623885,266,0.002580194581591379,0.004217076060744264,0.03483855355944502,0.1757323755190003,1.400309169375616,1.3867982607806753,0.005,1.3935537150781456
GranzymeB,PD-1,0.515926392947405,0.023411986569155052,509,0.004937289631691774,0.005527143279677874,0.08734147108719997,0.07595525750010619,1.1267671303962281,1.1281857858956252,0.005,1.1274764581459267
GranzymeB,CD45,0.5155190906872382,0.022628439484317874,588,0.005703588022465153,0.0027985738699826527,0.08977864284304025,0.36888722000168483,1.3162478912613182,1.3079900062164345,0.005,1.3121189487388762
PD-1,PTEN,0.515415202906375,0.05456465091203163,2429,0.023561250521373905,-0.09936232597953464,-0.16084580640024967,1.9322007788334737e-224,0.9510988287712019,0.9423696896053215,1.0,0.9467342591882617
PD-L1,alphaSMA,0.5153073392048337,0.026412707860570664,710,0.006886985537330372,0.009121454682208213,0.043404570452216365,0.003403268465194447,1.1683871908470906,1.1341167927976437,0.005,1.1512519918223671
CD163,alphaSMA,0.5145792091848223,0.10770742358078603,4933,0.04784999951500102,-0.06245577058971436,0.014899613429914423,1.7167813546914065e-06,1.0700140052353078,1.0453512815026684,0.005,1.057682643368988
GranzymeB,CD45RO,0.5140024793590853,0.021904388714733544,559,0.005422288613193912,0.002726007652603015,0.08408281728693785,0.3814323225694779,1.2347258642223462,1.2311173132309512,0.005,1.2329215887266487
PD-L1,Vimentin,0.5135618830689956,0.017812909806207197,489,0.004743290039090918,-0.004914238200975743,-0.010826250933018986,0.11459804154285211,1.1500749272605124,1.136141233978279,0.005,1.1431080806193958
PD-L1,VISTA,0.513471699966767,0.02627540517273646,702,0.006809385700290029,0.01937297361688995,0.03191146072786421,4.946206234804932e-10,1.0307965591496913,1.0111328935342383,0.215,1.0209647263419648
Ki-67,CD31,0.5132492436273483,0.09503563836438665,3040,0.029487938075330043,0.007014149190624915,0.03931190677152245,0.02431530027521537,1.1267613750507277,1.0809215650759663,0.005,1.103841470063347
